codeuai;longitude;latitude;lycee;ville;ppi;annee_d_individualisation;titreoperation;enveloppe_prev_en_meur;montant_des_ap_votes_en_meur;mandataire;maitrise_d_oeuvre;notification_du_marche;entreprise;mode_de_devolution;nombre_de_lots;cao_attribution;etat_d_avancement;annee_de_livraison;pointgeo
0781839A;1.782159720000038;48.802284419000046;Jean-Monnet;La Queue lez Yvelines;2012/2022;2014;Opération ciblée : restructuration service restauration;6.34;6.519;Essonne aménagement;Julien BOIDOT (BOIDOT & ROBIN ARCHITECTES)/IN4 Ingénieurs / ESPACE TEMPS /CL INFRA/BmfARWYTEC;;;;;2017-01-12;Etude de maîtrise d'œuvre;;48.802284419,1.78215972
0782556E;2.064783792000071;48.892219107000074;Léonard-de-Vinci;Saint Germain en Laye;2001/2006;2007;Reconstruction du lycée sur son site;46.95;52.85;SAERP;COLBOC-FRANZEN Architecture/Tank architecte;2010-02-04;COLAS / BAUDIN CHATEAUNEUF/ DAVID/SPIE/…;Lots séparés;7;2015-06-16;En Chantier;;48.892219107,2.064783792
0782565P;2.121153940000056;48.79453556100003;Jules-Ferry;Versailles;2001/2006;2011;Construction d'un internat de 90 places (opération internats abandonnée) et restructuration des ateliers - SUSPENDU;17.84;3.14;SAERP;Fabienne GERIN-JEAN / ATEC / ALMA CONSULTING;;;;;;Suspendue;;48.794535561,2.12115394
0911021R;2.503386970000065;48.69302569900003;Talma;Brunoy;2012/2022;2013;Opération ciblée : restructuration de la demi-pension et des lieux de vie;11.38;10.54;SAERP;Marjolijn BOUDRY (Marjolijn et Pierre BOUDRY) / AIC Ingénierie / CHOLLEY /  ALMA CONSULTING;2015-09-02;;;;;Etude de maîtrise d'œuvre;;48.693025699,2.50338697
0910630R;2.33393135700004;48.482819051000035;Alexandre-Denis;Cerny;2001/2006;2001;Restructuration du service de restauration et amélioration des lieux de vie et des vestiaires sanitaires ateliers;3.9;4.78;Essonne aménagement;Boudry / Acte Ile de France / EPDC / Benigaud;2005-01-19;Dubocq;Ent générale;;2007-03-26;Opération livrée;2008;48.482819051,2.333931357
0911913K;2.097241507000035;48.700305521000075;Vallée-de-Chevreuse;Gif sur Yvette;2001/2006;2006;Reconstruction du service de restauration et restructuration partielle des locaux;11.92;11.92;Essonne aménagement;Rihn / Dufournet / Domingo / Choulet / Micout;;Pitel / Sam / Sogefi;Lots séparés;;2011-07-10;Opération livrée;2013;48.700305521,2.097241507
0911492C;2.165037667000036;48.67608278400007;Essouriau (l');Les Ulis;2012/2022;2014;Rénovation thermique;5.5;9.52;SAERP;en cours;;;;;;Sélection maîtrise d'œuvre;;48.676082784,2.165037667
0910625K;2.450187838000034;48.70618448300007;Rosa-Parks;Montgeron;2001/2006;1999;Rénovation;49.54;66.193;Essonne aménagement;Malisan / Buron / Gaudriot;2003-03-14;Bouygues / Charpentier / Bouget…;Lots séparés;9;2005-10-28;Opération livrée;2010;48.706184483,2.450187838
0910756C;2.479953011000021;48.71337327900005;Louis-Armand;Yerres;2001/2006;1998;Rénovation - extension;8.53;11.77;Essonne aménagement;Dolle-Labbe / Cebat / Antonelli;2001-06-19;SEE Simeoni;Ent générale;;2005-05-23;Opération livrée;2008;48.713373279,2.479953011
0921555R;2.271645733000071;48.79558434000006;Jacques-Monod;Clamart;2001/2006;2004;Travaux de gros entretien;2.26;3.8;SAERP;Olivier Roulleau Gallais / Scop'ing / Sogepic;2005-09-08;Sobema / Forclum / UTB / Normacadre / Framaco;Lots séparés;7;2008-03-21;Opération livrée;2008;48.79558434,2.271645733
0920164D;2.305294745000026;48.81281476400005;Jean-Monnet;Montrouge;2001/2006;2001;Réfection des extérieurs et mise en sécurité électrique incendie;1.37;1.99;DDE 92;Béatrice Mouton / BET IPH;2004-04-19;J2M / Thevenet;Lots séparés;2;2006-05-03;Opération livrée;;48.812814764,2.305294745
0920141D;2.206492336000054;48.890470237000045;Frédéric-Joliot-Curie;Nanterre;2001/2006;2006;Restructuration d'ensemble - extension 400 places;44.57;50.932;SODEREC;Vincent Cornu;2009-03-03;Promodule;Ent générale;;2013-03-29;Opération livrée;2017;48.890470237,2.206492336
0920171L;2.22976479600004;48.87480276400004;Louis-Blériot;Suresnes;2001/2006;2000;Rénovation des ateliers;3.04;8.54;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 92;;;;;;Opération livrée;;48.874802764,2.229764796
0930117X;2.390295180000067;48.91446159100008;Le-Corbusier;Aubervilliers;2001/2006;2000;Réhabilitation - gros entretien;33.66;33.66;DDE 93;Pierre Riboulet / Projetud / Tohier;1997-07-18;Bouygues;METP;;2000-07-17;Opération livrée;2003;48.914461591,2.39029518
0932126F;2.417756965000024;48.94924490100004;François-Rabelais;Dugny;2001/2006;2002;Restructuration d'ensemble - extension;20.0;28.4;SAERP;Athias / Strzelecki / CIEC ingénierie;2005-07-06;Bouygues / Besagny & fils;Lots séparés;6;2008-04-07;Opération livrée;2011;48.949244901,2.417756965
0930128J;2.38702397000003;48.92853325100003;Denis-Papin;La Courneuve;2001/2006;2006;Extension des ateliers;7.0;7.0;CITALLIOS (ex-SEM 92);Philippe Challes / Mizrahi;;SNRB;Ent générale;;2010-07-05;Opération livrée;2012;48.928533251,2.38702397
0930831Y;2.449483777000069;48.94483909500008;Aristide-Briand;Le Blanc Mesnil;2001/2006;2008;Reconstruction d'un atelier;6.1;7.1;Sequano aménagement;Kagan / Berim;2012-08-31;Genton / Sogefi / STEPC (manque lot gros oeuvre);Lots séparés;;2015-05-22;Opération livrée;2017;48.944839095,2.449483777
0932117W;2.408073793000028;48.893951221000066;Lucie-Aubrac;Pantin;2001/2006;2000;Rénovation d'ensemble - extension;18.29;26.11;DDE 93;Van Wingaert / Oger international;2000-11-15;Levaux;Ent générale;;2005-01-24;Opération livrée;2008;48.893951221,2.408073793
0941974K;2.412790954000059;48.818418586000064;Robert-Schuman;Charenton le Pont;2001/2006;2001;Reconstruction sur un autre site;17.08;29.8;SADEV 94;Epicuria / Malisan / CET ingénierie;2006-05-05;Urbaine de travaux;Ent générale;;2008-02-18;Opération livrée;2009;48.818418586,2.412790954
0940114N;2.462642963000064;48.78284663900007;Saint-Exupéry;Créteil;2001/2006;2000;Réparations liées à la tempète de 1999;0.61;2.81;SAERP;Guy Martin / Louis Duval;2002-02-25;Répisol / Charpentiers Paris / Entrepose…;Ent générale;;2003-06-01;Opération livrée;;48.782846639,2.462642963
0941301D;2.328712560000042;48.761153378000074;Frédéric-Mistral;Fresnes;2001/2006;2000;Restructuration partielle - extension;26.02;30.06;SAERP;Manoilesco / Projetud / EPDC;2006-08-06;OBM location / Eiffage / UTB / Kone / Stabi;Lots séparés;7;2009-04-27;Opération livrée;2012;48.761153378,2.32871256
0941952L;2.457271373000026;48.73035010000007;François-Arago;Villeneuve St Georges;2012/2022;2014;Construction d'un internat de 100 places;8.0;8.44;CITALLIOS (ex-SEM 92);Jean & Aline HARARI Architecte / LTA / TRIBU / BETEC / SYNERGIE;;;;;;Etude de maîtrise d'œuvre;;48.7303501,2.457271373
0951637N;2.030143591000069;49.04571863100006;Galilée;Cergy;2012/2022;2013;Rénovation thermique;9.0;9.0;SAERP;A&A agence Engasser;;Brezillon;;;;Sélection entreprise;;49.045718631,2.030143591
0750669V;2.329087734000041;48.88406842900008;Jules-Ferry;Paris 09ème;2001/2006;1996;Rénovation;6.32;6.33;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;;48.884068429,2.329087734
0750674A;2.349967431000039;48.87897738300006;Jules-Siegfried;Paris 10ème;2001/2006;1999;Restructuration du service de restauration et création de lieux de vie;1.98;2.32;SAGI;Fricout - Cassignol / Novorest / Forgue;2001-10-01;Bati Renov;Ent générale;;2004-06-09;Opération livrée;2006;48.878977383,2.349967431
0750680G;2.394312742000068;48.84792995200007;Arago;Paris 12ème;2012/2022;2013;Rénovation simple;7.8;7.8;SAERP;Agence RICHARD & SCHOLLER;2014-10-20;"Eiffage (GO)
xxx (curage)
Ridoret menuiseries
SPIE (CVC)
SPIE (Elect)";;;;En Chantier;;48.847929952,2.394312742
0750684L;2.361400428000025;48.82405059200005;Gabriel-Fauré;Paris 13ème;2001/2006;2009;Restructuration globale - extension;44.0;41.99;Essonne aménagement;Patricia LEBOUCQ;2013-02-09;"Eiffage (TCE)
Ragueneau (cuisines)
Sol étanches (injections)";Lots séparés;;;En Chantier;;48.824050592,2.361400428
0750703G;2.272112642000025;48.855003209000074;Molière;Paris 16ème;2001/2006;1998;Création d'un service de restauration;1.176;1.18;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;2000;48.855003209,2.272112642
0750707L;2.320860724000056;48.89714501700007;Ecole-Nationale-de-Commerce;Paris 17ème;2001/2006;2000;Restructuration - extension;34.15;35.49;SAERP;Roze-Carrie / Barre-Lambot / Sibat;2004-02-18;Bouygues;Ent générale;;2006-06-16;Opération livrée;2009;48.897145017,2.320860724
0750708M;2.303739502000042;48.880748151000034;Jean-Drouant;Paris 17ème;2001/2006;2007;Restructuration ponctuelle des locaux;2.11;2.11;SAERP;Philippe Challes / Mizrahi;;SNRB/ERI/GSE/ERIS;;;;En Chantier;;48.880748151,2.303739502
0750710P;2.32813640400002;48.88688339300006;Auguste-Renoir;Paris 18ème;2001/2006;1999;Rénovation - restructuration - reconstruction partielle;19.82;24.04;RIVP;Lipsky-Rollet / Jacob Serete  / Gecob;2003-02-13;Sicra / GTS;Lots séparés;2;2006-01-06;Opération livrée;2009;48.886883393,2.328136404
0752608C;2.334474531000069;48.89620341500006;Hôtellier;Paris 18ème;2001/2006;1998;Rénovation - extension;11.43;19.03;SEMAEST;Bret - Demians - Herbert / Parica;1999-09-04;SNSH/TMCR/CCI/Deniot/Setralec/CFA;Lots séparés;7;2001-05-14;Opération livrée;2004;48.896203415,2.334474531
0752700C;2.376214394000044;48.882679265000036;Armand-Carrel;Paris 19ème;2001/2006;2000;Travaux de sécurité incendie, réfection parquet, réfection sanitaires extérieurs;1.07;1.07;SEMAEST;SLI;2002-07-25;DBS / TMCR;;;2004-02-16;Opération livrée;2005;48.882679265,2.376214394
0772685A;3.131951898000068;48.943780625000045;Samuel-Beckett;La Ferté ss Jouarre;2001/2006;2004;Construction (800 places);16.4;17.9;SAERP;Olivier Chaslin / ETCO ingénierie;2006-08-29;Bouygues;Ent générale;;2006-01-06;Opération livrée;2007;48.943780625,3.131951898
0770934X;2.659079963000067;48.55244814000008;Léonard-de-Vinci;Melun;2001/2006;2008;Restructuration partielle;3.9;6.6;Aménagement 77;Pascal Sirvin;2011-10-21;;;;;Etude de maîtrise d'œuvre;;48.55244814,2.659079963
0770942F;3.292981692000069;48.56065031300005;Thibaud-de-Champagne;Provins;2001/2006;1999;Rénovation - réhabilitation du patrimoine;18.29;39.6;Icade Promotion;Prunet / Jacob Serete;2001-05-17;Rabot Dutilleul construction;Ent générale;;2008-04-07;Opération livrée;2013;48.560650313,3.292981692
0772342C;2.74956153100004;48.742823927000074;Clément-Ader;Tournan en Brie;2001/2006;2002;Restructuration d'ensemble;45.46;47.14;SAERP;Isabelle Biro / Ingénierie Studio;2005-11-07;Bateg;Ent générale;;2007-11-05;Opération livrée;2011;48.742823927,2.749561531
0780515L;1.94522364200003;48.767581964000044;Sept-Mares (les);Maurepas;2001/2006;2008;Réhabilitation globale et reconstruction des logements de fonction - SUSPENDU;17.4;17.4;SAERP;;;;;;;Suspendue;;48.767581964,1.945223642
0781819D;2.041632219000064;48.781315936000055;Emilie-de-Breteuil;Montigny le Bretonneux;2001/2006;2008;Restructuration du service de restauration;4.4;4.4;CITALLIOS (ex-SARRY 78);Hélène Fricout-Cassignol;2011-11-18;CIF/Melchiorre/Zbat/JPV/Berin plafonds/Socape/CBC/GED/Sesar/IDFC;Lots séparés;10;2014-04-04;Opération livrée;2016;48.781315936,2.041632219
0783140P;2.06474927000005;48.80446619800006;Jules-Hardouin-Mansart;Saint Cyr l'Ecole;2001/2006;2003;Restructuration d'ensemble - extension;40.31;45.815;SEMAEST;JF Laurent / Incet;2006-01-10;Demathieu / Bard / Sam / Arblade / Eliez / IDFC;Lots séparés;5;2010-11-06;Opération livrée;2015;48.804466198,2.06474927
0782132U;2.098065680000048;48.89357162200008;Jeanne-d'Albret;Saint Germain en Laye;2001/2006;1999;Restructuration de la demi-pension;1.14;2.021;AFTRP;J. Bocabeille / Prego / MTC;2002-01-08;Nodal;Ent générale;;2005-12-19;Opération livrée;2007;48.893571622,2.09806568
0782132U;2.098065680000048;48.89357162200008;Jeanne-d'Albret;Saint Germain en Laye;2001/2006;1998;Rénovation;19.81;21.18;AFTRP;Lehoux-Phily / BET SERETE;1998-11-02;Quillery;Ent générale;;2000-01-24;Opération livrée;2004;48.893571622,2.09806568
991J98V?;;;Lycée neuf;Palaiseau;2017/2027;;Construction lycée de 1400 places;;;marché de partenariat;;;;;;;Etudes et diagnostics;;
0911493D;2.525332028000037;48.67744175800004;Frères-Moreau (les);Quincy ss Sénart;2001/2006;1998;Rénovation;4.57;7.28;Essonne aménagement;Lacroix / Setec;1999-09-04;SBM / Alufer / Schneider;Lots séparés;4;2003-12-22;Opération livrée;2005;48.677441758,2.525332028
9920122?;;;Lycée neuf;Boulogne;2001/2006;2009;Construction (800 places);39.0;39.83;H4 puis SAERP en 2015;Salwa MIKOU (MIKOU DESIGN STUDIO);;;;;;En Chantier;;
0921592F;2.220569271000045;48.79448056000007;Côtes-de-Villebon (les);Meudon;2001/2006;2009;Restructuration partielle;19.0;21.77;SAERP;Antonio Lazo (LAZO & MURE);2011-07-22;;;;2015-01-04;En Chantier;;48.79448056,2.220569271
0932123C;2.429229615000054;48.907602902000065;André-Sabatier;Bobigny;2012/2022;2013;Equipements sportifs : construction d'une salle de sports - SUSPENDU;1.3;0.23;;;;;;;;Suspendue;;48.907602902,2.429229615
0932118X;2.46868194700005;48.943605597000044;Jean-Moulin;Le Blanc Mesnil;2001/2006;2003;Restructuration partielle - extension;23.73;28.525;SAERP;Monique Labbe / Quadri plus;2006-04-27;Urbaine de travaux;Ent générale;;2009-02-23;Opération livrée;2011;48.943605597,2.468681947
0930123D;2.470835541000042;48.88771508700006;Olympe-de-Gouges;Noisy le Sec;2001/2006;1999;Rénovation des gymnases;1.62;1.9;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 93;;;;;;Opération livrée;2004;48.887715087,2.470835541
0931193S;2.579395268000042;48.950464099000044;Hélène-Boucher;Tremblay en France;2001/2006;1999;Rénovation - restructuration d'ensemble - extension partielle;12.5;16.24;SAGI;Louis Soria / Anne Brigitte Soria / Arcoba;2002-04-22;Brezillon;Ent générale;;2006-06-29;Opération livrée;2008;48.950464099,2.579395268
0932046U;2.569982370000048;48.966654979000054;Léonard-de-Vinci;Tremblay en France;2012/2022;2015;Rénovation thermique;8.0;8.0;SAERP;en cours;;;;;;Sélection maîtrise d'œuvre;;48.966654979,2.56998237
0942269F;2.340110695000021;48.77285634100008;Pauline-Roland;Chevilly Larue;2001/2006;2010;Construction d'un internat de 70 lits;6.9;6.88;SAERP;Jean-François SCHMIT/ GEC Ingénierie / S’PACE.;;Savoie / Salmon / Charpente Cenomane / Roux Frères / UTB / EZI / SPAL / IDS / AEC / Sisap aménagement / SOGESI / Schindler / Emulithe;Lots séparés;13;;Opération livrée;2017;48.772856341,2.340110695
