codeuai;longitude;latitude;lycee;ville;ppi;annee_d_individualisation;titreoperation;enveloppe_prev_en_meur;montant_des_ap_votes_en_meur;mandataire;maitrise_d_oeuvre;notification_du_marche;entreprise;mode_de_devolution;nombre_de_lots;cao_attribution;etat_d_avancement;annee_de_livraison;pointgeo
0910632T;2.295914719000052;48.73625594600003;Gustave-Eiffel;Massy;2001/2006;2000;Restructuration d'ensemble - extension;21.04;26.25;Essonne aménagement;Valero / Gadan;2004-08-13;Eiffage / Léon Grosse;Ent générale;;2006-06-29;Opération livrée;2008;48.736255946,2.295914719
0910627M;2.35442637500006;48.674342489000026;Jean-Baptiste-Corot;Savigny-sur-Orge;2001/2006;1999;Rénovation - restructuration - résorption des BD;53.35;63.43;SAERP;Dusapin / Leclerc /;2002-11-01;Quillery / Delphi / Geometra / Jardem;Lots séparés;5;2005-05-23;Opération livrée;2010;48.674342489,2.354426375
0920132U;2.259668066000074;48.91063012500007;Albert-Camus;Bois Colombes;2012/2022;2014;Construction d'un internat de 100 places;6.56;1.15;SAERP;Fabienne GERIN-JEAN Architecte;;;;;;Etude de maîtrise d'œuvre;;48.910630125,2.259668066
0920132U;2.259668066000074;48.91063012500007;Albert-Camus;Bois Colombes;2012/2022;2014;Création places nouvelles : extension de capacité de 400 places;22.86;4.02;SAERP;Fabienne GERIN-JEAN Architecte;;;;;;Etude de maîtrise d'œuvre;;48.910630125,2.259668066
0920134W;2.238915723000048;48.83330794800003;Jacques-Prévert;Boulogne;2001/2006;2000;Rénovation;12.19;21.65;DDE 92;Carril / LGX ingérierie;2004-07-29;Colas;Ent générale;;2006-11-09;Opération livrée;2010;48.833307948,2.238915723
0922427N;2.246380248000037;48.91423176500007;Claude-Garamont;Colombes;2001/2006;1998;Rénovation;6.4;10.44;DDE 92;Gignoux / Mizrahi;2000-03-03;Quillery;Ent générale;;2006-06-29;Opération livrée;2010;48.914231765,2.246380248
0920141D;2.206492336000054;48.890470237000045;Frédéric-Joliot-Curie;Nanterre;2001/2006;2000;Restructuration des salles de sciences;;0.8;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 92;;;;;;Opération livrée;;48.890470237,2.206492336
0920142E;2.274384238000039;48.88595456300004;Pasteur;Neuilly sur Seine;2001/2006;2003;Réfection du pôle scientifique;0.46;0.46;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 92;;;;;;Opération livrée;;48.885954563,2.274384238
0920799U;2.179447476000064;48.86718092400008;Richelieu;Rueil-Malmaison;2001/2006;2001;Restructuration d'ensemble;43.0;58.31;Icade Promotion;André Chantalat / Gérard Liucci / Berim;2005-05-13;Sisap / Rougeon / Alma…;Lots séparés;8;2008-04-07;Opération livrée;2015;48.867180924,2.179447476
0930129K;2.473762803000057;48.904243793000035;Madeleine Vionnet;Bondy;2001/2006;1999;Rénovation - restructuration;10.67;17.8;Icade Promotion;Akahori / Challes / Duperier / Mizrahi;2002-07-11;Quillery;Ent générale;;2005-12-19;Opération livrée;2008;48.904243793,2.473762803
0932026X;2.548319106000065;48.90256519700006;Alfred-Nobel;Clichy;2012/2022;2013;Construction d'un internat de 100 places;9.0;8.98;H4 puis SODEREC dès 2015;Alain GIGNOUX ARCHITECTE/MIZRAHI/ELEMENTS INGENIERIE;;;;;;Etude de maîtrise d'œuvre;;48.902565197,2.548319106
0930136T;2.492673619000072;48.91339928800005;Claude-Nicolas-Ledoux;Les Pavillons ss Bois;2001/2006;2002;Restructuration d'ensemble;22.22;28.72;Essonne aménagement;Alain Gignoux;;GTM / Thevenet / UTB..;Lots séparés;5;2009-04-09;Opération livrée;2012;48.913399288,2.492673619
0931565W;2.574112903000071;48.843725422000034;Flora-Tristan;Noisy le Grand;2001/2006;2006;Reconstruction du service de restauration;7.11;9.455;SAERP;Martine Crettez / Lavalin / ADF;2008-10-10;Brique et Béton / Deschamps / Alu Rennais / Sisap / UTB/ 3LM bâtiment / UTB / SDEL ITT;Lots séparés;7;2005-05-22;Opération livrée;2016;48.843725422,2.574112903
0930135S;2.40965527100002;48.89292571300007;Simone-Weil;Pantin;2001/2006;2000;Restructuration d'ensemble;16.46;22.58;Icade Promotion;Pascal Servin / Dal / AR & C / CFERM;2004-05-27;Quillery / Soletanche / HMI;Lots séparés;3;2007-06-04;Opération livrée;2010;48.892925713,2.409655271
0932121A;2.367114340000057;48.92918606000006;Suger;Saint Denis;2001/2006;2005;Extension - 2ème tranche (385 places);17.0;19.85;SAERP;Ripaut & Dupart / MTC / Orion;;Francilia / Paternoster / Guiban;Lots séparés;3;2009-05-25;Opération livrée;2011;48.92918606,2.36711434
0931584S;2.547681098000055;48.95919191400003;Jean-Rostand;Villepinte;2001/2006;2001;Restructuration - extension (300 places);24.74;33.16;Sequano aménagement;Gerin / Dufay / ingénierie Studio;2006-01-31;Reithler / axe étanchéité / Gallo…;Lots séparés;8;2008-10-31;Opération livrée;2012;48.959191914,2.547681098
0940132H;2.544375648000028;48.80637870700008;Gabriel-Péri;Champigny sur Marne;2001/2006;1999;Création par extension d'un pôle lieux de vie;0.99;1.33;DDE 94;Quintard / Hofstein / Sincoba;2001-11-05;DBS;Ent générale;;2003-12-22;Opération livrée;2005;48.806378707,2.544375648
0940112L;2.494961243000034;48.81628823900007;Louise-Michel / Langevin-Wallon;Champigny sur Marne;2012/2022;2015;Restructuration globale;50.06;8.81;SAERP;Nicolas MOREAU (Equipe MOREAU KUSUNOKI);;;;;;Etude de maîtrise d'œuvre;;48.816288239,2.494961243
0940743X;2.438748952000026;48.727463570000054;Georges Brassens;Villeneuve le Roi;2012/2022;2015;Reconstruction du lycée à orly;53.0;9.328;SAERP;;;;;;;Etudes et diagnostics;;48.72746357,2.438748952
